student_id,Иностранный язык,История России,Основы проектной деятельности,Аналитическая геометрия,Высшая алгебра,Дискретная математика и теория алгоритмов,История России.1,Математическая логика,Математический анализ,Программирование
93,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
94,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0
95,5.0,5.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0
96,,5.0,,,2.0,3.0,,,,
97,4.0,5.0,4.0,3.0,3.0,5.0,5.0,3.0,4.0,3.0
98,5.0,5.0,5.0,3.0,5.0,4.0,5.0,4.0,3.0,4.0
99,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0
100,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0
101,5.0,4.0,,4.0,4.0,4.0,5.0,3.0,3.0,4.0
102,4.0,4.0,2.0,,,3.0,4.0,,,
103,4.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0
104,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0
105,5.0,5.0,4.0,3.0,3.0,3.0,5.0,2.0,3.0,
106,5.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0
107,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0
108,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
109,5.0,3.0,4.0,3.0,3.0,3.0,,3.0,3.0,3.0
110,5.0,5.0,4.0,,,3.0,5.0,5.0,3.0,3.0
111,5.0,4.0,5.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0
112,5.0,5.0,,3.0,,3.0,5.0,3.0,2.0,3.0
113,,,,,,,,,,
114,5.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0
115,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0
116,3.0,5.0,4.0,4.0,5.0,4.0,,4.0,4.0,5.0
117,4.0,4.0,5.0,4.0,4.0,,4.0,5.0,4.0,3.0
118,5.0,5.0,,3.0,3.0,,5.0,4.0,4.0,4.0
119,5.0,5.0,4.0,2.0,,3.0,5.0,,3.0,
120,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0
121,4.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0
122,4.0,5.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0
123,,5.0,,,,3.0,,,,
124,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0
125,5.0,4.0,5.0,,,3.0,4.0,5.0,3.0,3.0
126,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0
127,4.0,5.0,,4.0,4.0,4.0,,4.0,4.0,4.0
128,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0
129,5.0,5.0,4.0,4.0,3.0,5.0,5.0,3.0,4.0,4.0
130,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0
131,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0
132,5.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0
133,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0
134,4.0,5.0,,5.0,5.0,5.0,,5.0,5.0,
135,,,,,,,,,,
136,,4.0,,,,,,,,
137,,,,,,,,,,
