,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale,bad_pareto_k
nocond_current,0,-978.1791322992669,106.11217559362251,0.0,0.9230466132099769,21.40463644822921,0.0,True,log,7
nocond_sigmoid,1,-993.7946406422434,129.26136245439284,15.615508342976371,0.0,22.953762675322487,5.526641386772528,True,log,6
cond_current,2,-1005.5707347949083,101.57372467121218,27.39160249564143,0.0,20.19610507344199,6.8695237060108605,True,log,10
cond_legacy_sd,3,-1014.0298489130962,90.13564005786043,35.85071661382942,0.07695338679006679,17.32360645822339,8.649220064927833,True,log,2
nocond_legacy_sd,4,-1016.4287679082411,100.10472848761049,38.24963560897412,5.971056186314799e-15,19.2640656430404,9.082587049903424,True,log,0
cond_sigmoid,5,-1019.2914253195243,119.57296554221443,41.112293020257454,2.057218236546461e-15,21.748769974567914,8.775776127769594,True,log,8
