,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale,bad_pareto_k
tilted_sigmoid,0,-611.2989918856182,109.49935794393042,0.0,0.6527754910195132,19.202046387933823,0.0,True,log,10
nocond_current,1,-625.8889290624118,83.42714513806027,14.589937176793491,0.2552767674844966,15.605765575859479,8.954440394118697,True,log,12
nocond_sigmoid,2,-630.6488865760014,99.30595104847635,19.349894690383117,0.0,17.16746469598061,7.048484613981362,True,log,7
ordered_sigmoid,3,-637.626135754826,69.10057847166718,26.32714386920781,0.09194774149613962,14.452386738305501,9.109467023999382,True,log,2
cond_current,4,-655.9749530505661,83.0842752181967,44.67596116494792,0.0,16.03779530610663,9.790769654680544,True,log,18
cond_sigmoid,5,-661.5535544900611,95.65630629346606,50.25456260444287,0.0,17.835089230489093,9.324552119796266,True,log,14
nocond_legacy_sd,6,-663.1444009770596,73.32996239334943,51.845409091441425,6.873057551239944e-14,13.941998038478063,11.776881860440652,True,log,3
cond_legacy_sd,7,-664.6574293312078,69.13171608314406,53.35843744558963,0.0,13.439496905615673,10.326656018510288,True,log,7
