sem,model,ratio,rhat_max_student_ability,rhat_bad_student_ability,ess_min_student_ability,ess_bad_student_ability,rhat_max_item_difficulty,rhat_bad_item_difficulty,ess_min_item_difficulty,ess_bad_item_difficulty,divergences,draws_total,verdict
1,cond,legacy_sd,1.0010307804407945,0,12035.886531020662,0,1.000802792657909,0,4729.6211169213675,0,0,16000,OK
1,cond,current,1.0016284101805504,0,4765.508942004458,0,1.0057577842219727,0,760.9528736300306,0,0,16000,OK
1,cond,sigmoid,1.0029778985114197,0,1939.9079469267404,0,1.0092924658796398,0,587.0745851659086,0,0,16000,OK
1,nocond,legacy_sd,1.0011868186539392,0,14704.094899379863,0,1.0007971737206398,0,9409.543401569419,0,0,16000,OK
1,nocond,current,1.0011076991855115,0,10166.952205276097,0,1.0025152273070606,0,1579.5230136721564,0,0,16000,OK
1,nocond,sigmoid,1.0018780691607396,0,16391.692421302025,0,1.001461525466139,0,2247.9645673317705,0,0,16000,OK
1,tilted,sigmoid,1.0016334244181762,0,17421.189276300505,0,1.0006722498782867,0,1078.4652953014725,0,0,16000,OK
1,ordered,sigmoid,1.001540436286321,0,15316.089178832184,0,1.0046884036064128,0,1309.2460775438678,0,0,16000,OK
2,cond,legacy_sd,1.0010593122153537,0,9911.395758967994,0,1.0017785877270422,0,4364.960063863959,0,0,16000,OK
2,cond,current,1.0015498161102527,0,3106.1431543899885,0,1.00489646338106,0,926.9926307122221,0,0,16000,OK
2,cond,sigmoid,1.0031289387964895,0,1331.8494517276936,0,1.0074547928867892,0,511.926041267875,0,0,32000,OK
2,nocond,legacy_sd,1.001537836059576,0,13032.02859757316,0,1.0004840611302932,0,8193.442554100722,0,0,16000,OK
2,nocond,current,1.0009980677471022,0,12348.726365250875,0,1.0009084689848442,0,1878.2337432038184,0,0,16000,OK
2,nocond,sigmoid,1.0016351928558076,0,4503.6913257569095,0,1.0042270789729248,0,1265.6079844384667,0,0,16000,OK
2,tilted,sigmoid,1.001392910144777,0,3153.5951621152285,0,1.0250675128676277,4,119.91829249697041,10,0,16000,r_hat>1.01: 4; ESS<400: 10
2,ordered,sigmoid,1.0013490517992996,0,14331.523553478813,0,1.0031861942904043,0,1303.7459719302915,0,0,16000,OK
